question,topic,x,y
Amount of alcohol excise tax by beverage type (wine),Alcohol,-12.895122,2.010163
Amount of alcohol excise tax by beverage type (beer),Alcohol,-12.6117735,2.096017
Amount of alcohol excise tax by beverage type (distilled spirits),Alcohol,-12.953471,2.7036219
Obesity among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",2.7799656,3.2319396
Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,Cardiovascular Disease,16.258863,6.5661774
Binge drinking frequency among adults aged >= 18 years who binge drink,Alcohol,0.89963496,-8.056038
Arthritis among adults aged >= 18 years who have diabetes,Arthritis,5.4130964,-8.071409
Foot examination among adults aged >= 18 years with diagnosed diabetes,Diabetes,3.6156106,-3.2374055
Current smoking among adults aged >= 18 years,Tobacco,-4.488908,-4.3065796
Chronic liver disease mortality,Alcohol,8.98432,7.3290186
Mortality from heart failure,Cardiovascular Disease,7.8563237,12.253849
Heavy drinking among adults aged >= 18 years,Alcohol,-1.9989039,-9.652642
Quit attempts in the past year among current smokers,Tobacco,14.77826,-4.0581727
Prevalence of sufficient sleep among adults aged >= 18 years,Overarching Conditions,-1.5610304,-3.4175558
Hospitalization for acute myocardial infarction,Cardiovascular Disease,16.410776,9.397732
Poverty,Overarching Conditions,-5.502127,-8.778823
Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,8.668106,1.9570518
Papanicolaou smear use among adult women aged 21-65 years,Cancer,-4.9588094,-13.148107
Binge drinking prevalence among adults aged >= 18 years,Alcohol,-0.45325148,-7.5641394
Mammography use among women aged 50-74 years,Cancer,-5.343719,-11.253603
Mortality due to diabetes reported as any listed cause of death,Diabetes,14.734154,2.1230164
Binge drinking intensity among adults aged >= 18 years who binge drink,Alcohol,0.94050926,-8.231471
Hospitalization for stroke,Cardiovascular Disease,15.756013,9.038529
Overweight or obesity among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",1.9813117,3.5256574
Current smokeless tobacco use among adults aged >= 18 years,Tobacco,-9.891023,-5.3964763
High cholesterol prevalence among adults aged >= 18 years,Cardiovascular Disease,0.7882284,-3.9819245
Cholesterol screening among adults aged >= 18 years,Cardiovascular Disease,1.2770312,-4.768386
Hospitalizations for asthma,Asthma,13.265317,11.516377
Physical inactivity among adults aged >= 18 years with arthritis,Arthritis,4.206692,-10.141615
Healthy weight among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",2.5652037,6.891444
Mortality from total cardiovascular diseases,Cardiovascular Disease,6.494446,13.307493
Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,Chronic Obstructive Pulmonary Disease,10.786727,3.5369418
Six or more teeth lost among adults aged >= 65 years,Oral Health,-0.4871169,-15.24192
Fair or poor self-rated health status among adults aged >= 18 years,Overarching Conditions,0.8908392,-11.571637
Median daily frequency of fruit consumption among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",-4.375253,5.1353474
Premature mortality among adults aged 45-64 years,Overarching Conditions,10.922776,0.6805553
All teeth lost among adults aged >= 65 years,Oral Health,-0.5000127,-15.230141
Arthritis among adults aged >= 18 years who are obese,Arthritis,4.0323577,-8.351195
Mortality with diabetic ketoacidosis reported as any listed cause of death,Diabetes,14.755122,2.124869
Visits to dentist or dental clinic among adults aged >= 18 years,Oral Health,4.8635874,-13.714205
Recent activity limitation among adults aged >= 18 years,Overarching Conditions,10.479704,-9.403557
Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,Diabetes,6.3805523,-3.3546572
Emergency department visit rate for asthma,Asthma,12.170663,10.071935
Arthritis among adults aged >= 18 years,Arthritis,4.6539955,-9.393572
Fair or poor health among adults aged >= 18 years with arthritis,Arthritis,1.7544464,-11.420654
Diabetes prevalence among women aged 18-44 years,Diabetes,-3.1716423,-7.011921
Current lack of health insurance among adults aged 18-64 years,Overarching Conditions,-6.9113097,-5.6043806
Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,Diabetes,5.3110914,-6.284756
No tooth loss among adults aged 18-64 years,Oral Health,9.85571,-6.327531
Amount of tobacco product excise tax,Tobacco,-14.022521,1.6487885
Prevalence of diagnosed diabetes among adults aged >= 18 years,Diabetes,-0.96729255,-2.0300636
Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,Asthma,7.81114,-2.2761772
Asthma mortality rate,Asthma,11.647235,11.084562
Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,6.313255,3.8386977
Mortality from diseases of the heart,Cardiovascular Disease,6.89682,12.677353
Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,Chronic Obstructive Pulmonary Disease,13.411188,6.553785
Binge drinking prevalence among women aged 18-44 years,Alcohol,-1.4868785,-7.5767984
Heavy drinking among women aged 18-44 years,Alcohol,-2.3480349,-9.329835
Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,Diabetes,3.6207566,-2.9100618
Current asthma prevalence among adults aged >= 18 years,Asthma,-2.8805008,-4.951712
Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,Chronic Obstructive Pulmonary Disease,15.136152,6.762491
Alcohol use among youth,Alcohol,-10.718672,-2.5147774
Recent Papanicolaou smear use among women aged 21-44 years,Cancer,-4.929166,-13.05192
Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,Chronic Obstructive Pulmonary Disease,14.782146,6.264663
Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,Asthma,8.7831545,-2.9626021
Per capita alcohol consumption among persons aged >= 14 years,Alcohol,-5.991291,3.7448437
Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,Chronic Obstructive Pulmonary Disease,8.071914,3.6395986
Self-rated health status among women aged 18-44 years,Overarching Conditions,0.024326,-11.536524
Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,Cardiovascular Disease,1.9022069,-0.4662949
States that allow stronger local tobacco control and prevention laws,Tobacco,-17.168016,-0.41995275
Sale of cigarette packs,Tobacco,-6.1735816,-2.127996
Mortality from cerebrovascular disease (stroke),Cardiovascular Disease,8.05065,10.617497
