question,topic,x,y
Amount of alcohol excise tax by beverage type (wine),Alcohol,3.2163153,12.897727
Amount of alcohol excise tax by beverage type (beer),Alcohol,3.2253034,12.916605
Amount of alcohol excise tax by beverage type (distilled spirits),Alcohol,3.103304,12.882337
Obesity among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",2.0041783,-1.0425384
Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,Cardiovascular Disease,-6.3989077,-4.282957
Binge drinking frequency among adults aged >= 18 years who binge drink,Alcohol,7.4083385,-1.9724169
Arthritis among adults aged >= 18 years who have diabetes,Arthritis,-0.36703125,-0.8873448
Foot examination among adults aged >= 18 years with diagnosed diabetes,Diabetes,-2.2742195,-1.9494785
Current smoking among adults aged >= 18 years,Tobacco,3.6834006,-1.2924526
Chronic liver disease mortality,Alcohol,-15.08407,-5.0663304
Mortality from heart failure,Cardiovascular Disease,-15.5477705,-2.643597
Heavy drinking among adults aged >= 18 years,Alcohol,4.8361692,-1.8311245
Quit attempts in the past year among current smokers,Tobacco,5.286502,7.2276645
Prevalence of sufficient sleep among adults aged >= 18 years,Overarching Conditions,2.1755605,-2.415738
Hospitalization for acute myocardial infarction,Cardiovascular Disease,-13.600334,-7.252687
Poverty,Overarching Conditions,9.250282,2.1654768
Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,-9.443154,-1.8303055
Papanicolaou smear use among adult women aged 21-65 years,Cancer,4.628282,-8.504643
Binge drinking prevalence among adults aged >= 18 years,Alcohol,6.250989,-1.8748659
Mammography use among women aged 50-74 years,Cancer,4.7589145,-9.417737
Mortality due to diabetes reported as any listed cause of death,Diabetes,-7.8130345,-8.425652
Binge drinking intensity among adults aged >= 18 years who binge drink,Alcohol,7.4371953,-1.9944642
Hospitalization for stroke,Cardiovascular Disease,-12.455175,-8.340568
Overweight or obesity among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",1.8445431,-0.47755557
Current smokeless tobacco use among adults aged >= 18 years,Tobacco,4.3636627,-0.60101146
High cholesterol prevalence among adults aged >= 18 years,Cardiovascular Disease,-0.2803573,-3.3488846
Cholesterol screening among adults aged >= 18 years,Cardiovascular Disease,-0.18160738,-2.6672647
Hospitalizations for asthma,Asthma,-12.520015,-5.718166
Physical inactivity among adults aged >= 18 years with arthritis,Arthritis,1.1420133,-1.9141817
Healthy weight among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",2.7755659,-0.73291063
Mortality from total cardiovascular diseases,Cardiovascular Disease,-14.171177,-3.463105
Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,Chronic Obstructive Pulmonary Disease,-9.10361,-3.4280183
Six or more teeth lost among adults aged >= 65 years,Oral Health,4.7885494,-3.8109064
Fair or poor self-rated health status among adults aged >= 18 years,Overarching Conditions,2.603299,-4.2955146
Median daily frequency of fruit consumption among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",6.6423035,1.120538
Premature mortality among adults aged 45-64 years,Overarching Conditions,7.9487987,-6.238018
All teeth lost among adults aged >= 65 years,Oral Health,4.8135853,-3.7476027
Arthritis among adults aged >= 18 years who are obese,Arthritis,0.40373892,-0.66859674
Mortality with diabetic ketoacidosis reported as any listed cause of death,Diabetes,-7.8798018,-8.434112
Visits to dentist or dental clinic among adults aged >= 18 years,Oral Health,-0.30082148,2.937018
Recent activity limitation among adults aged >= 18 years,Overarching Conditions,3.0863538,-2.4558046
Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,Diabetes,-5.55286,0.9924349
Emergency department visit rate for asthma,Asthma,-10.489496,-8.65254
Arthritis among adults aged >= 18 years,Arthritis,0.940868,-1.2407868
Fair or poor health among adults aged >= 18 years with arthritis,Arthritis,1.7499322,-3.6030326
Diabetes prevalence among women aged 18-44 years,Diabetes,7.6191216,-7.89885
Current lack of health insurance among adults aged 18-64 years,Overarching Conditions,3.8265786,-5.9524517
Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,Diabetes,-2.1105497,-0.47799435
No tooth loss among adults aged 18-64 years,Oral Health,5.2441916,-5.323068
Amount of tobacco product excise tax,Tobacco,3.4537818,14.0779
Prevalence of diagnosed diabetes among adults aged >= 18 years,Diabetes,-1.6604017,-2.9790833
Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,Asthma,-5.4988694,1.9172578
Asthma mortality rate,Asthma,-13.296578,-4.258568
Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,-10.345237,-4.501684
Mortality from diseases of the heart,Cardiovascular Disease,-15.460566,-2.2690318
Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,Chronic Obstructive Pulmonary Disease,-11.248199,-6.433403
Binge drinking prevalence among women aged 18-44 years,Alcohol,6.811418,-7.373511
Heavy drinking among women aged 18-44 years,Alcohol,5.8520265,-8.015852
Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,Diabetes,-2.9977882,-1.972416
Current asthma prevalence among adults aged >= 18 years,Asthma,0.6763669,-2.7368152
Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,Chronic Obstructive Pulmonary Disease,-7.8717813,-4.4545665
Alcohol use among youth,Alcohol,10.98285,-1.4330204
Recent Papanicolaou smear use among women aged 21-44 years,Cancer,4.5787263,-8.490886
Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,Chronic Obstructive Pulmonary Disease,-7.5293274,-4.406188
Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,Asthma,-5.988727,2.1032186
Per capita alcohol consumption among persons aged >= 14 years,Alcohol,6.2820625,0.068944134
Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,Chronic Obstructive Pulmonary Disease,-10.573049,-2.9781456
Self-rated health status among women aged 18-44 years,Overarching Conditions,3.8117814,-7.227541
Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,Cardiovascular Disease,-0.07954519,-5.8226986
States that allow stronger local tobacco control and prevention laws,Tobacco,6.470086,10.427355
Sale of cigarette packs,Tobacco,5.40121,12.696459
Mortality from cerebrovascular disease (stroke),Cardiovascular Disease,-12.068539,-1.947296
Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,Diabetes,-3.2034118,-3.9519377
Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,Asthma,-7.5114994,1.6473349
Mortality from coronary heart disease,Cardiovascular Disease,-15.05048,-3.5499933
High school completion among adults aged 18-24 years,Overarching Conditions,2.6157703,-8.619646
Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,Diabetes,-2.7630706,-2.9557965
Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",4.6209936,4.679227
Current smokeless tobacco use among youth,Tobacco,11.687612,-0.8677689
Cigarette smoking before pregnancy,Tobacco,13.134955,-2.8675027
"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Cancer,-4.959217,-1.8605021
